date,latitude,longitude,depth,mag,id
20150428,36.2827,-97.5113,5.673,3.3,us200029zi
20150428,39.5011667,-122.9486667,11.239,3.1,nc72436930
20150428,39.2703333,-122.7556667,11.836,3.23,nc72436530
20150428,36.558,-98.1517,6.617,3,us200029rs
20150429,36.2845,-97.5163,8.843,3,us20002aa7
20150429,43.699,-105.2447,0,3.1,us20002a9b
20150429,36.2841,-97.5182,5.661,3.8,us20002a7w
20150429,36.1825,-97.3258,4.439,3.1,us20002a78
20150429,37.0578333,-118.269,5.137,3.49,nc72437265
20150429,35.7442,-97.3829,5.696,3.2,us20002a1y
20150430,33.8515,-118.2501667,12.73,3.41,ci37372672
20150501,36.5224,-98.991,4.2,3.8,us20002am2
20150501,35.8126,-97.2417,4.186,3.1,us20002am1
20150502,43.7951,-105.2916,0,3.1,us20002awk
20150502,36.1381,-96.8551,5.007,3,us20002bxf
20150502,42.2357,-85.4285,4.48,4.2,us20002avh
20150502,46.826,-78.927,18,3.3,us20002awj
20150503,37.9665,-122.0436667,13.14,3.64,nc72439615
20150503,43.8138,-105.2414,0,3.5,us20002b0z
20150503,32.8511,-96.9514,5,3.2,us20002azv
20150503,38.4438,-118.7299,4.8,3.5,nn00492533
20150503,33.9936667,-118.3613333,11.11,3.8,ci37374008
20150503,32.5794,-90.1139,5,3,us20002ax8
20150503,32.5571,-90.0759,5,3.2,us20002ax0
20150504,35.6001,-97.0543,4.775,3.2,us20002bmm
20150504,36.1157,-97.2316,5.06,3,us20002bes
20150504,39.0784,-115.7039,0,3.2,nn00492670
20150504,31.2235,-115.9473333,6.288,3.31,ci37374536
20150504,39.0869,-115.6756,0,3.7,nn00492632
20150504,36.3285,-96.946,2.523,3,us20002b5h
20150504,36.945,-97.639,5.377,3,us20002b4r
20150504,41.1653,-106.8135,5,3.3,us20002b42
20150504,36.513,-98.9824,5.398,3,us20002bva
20150504,36.7264,-97.9166,4.12,3.5,us20002b32
20150505,39.083,-115.6669,0,3.4,nn00492859
20150505,34.9551,-111.7134,7.12,3.1,us20002brc
20150506,31.2855,-115.43,0,3.4,us20002djs
20150506,40.6105,-122.4275,22.181,3.23,nc72444316
20150506,36.3196,-96.7527,1.137,3.1,us20002cbj
